Date,Cases
1/22/20,1
1/23/20,1
1/24/20,2
1/25/20,2
1/26/20,5
1/27/20,5
1/28/20,5
1/29/20,6
1/30/20,6
1/31/20,8
02-01-2020,8
02-02-2020,8
02-03-2020,11
02-04-2020,11
02-05-2020,11
02-06-2020,12
02-07-2020,12
02-08-2020,12
02-09-2020,12
02-10-2020,12
02-11-2020,13
02-12-2020,13
2/13/20,14
2/14/20,14
2/15/20,14
2/16/20,14
2/17/20,15
2/18/20,16
2/19/20,16
2/20/20,16
2/21/20,16
2/22/20,16
2/23/20,16
2/24/20,17
2/25/20,18
2/26/20,19
2/27/20,19
2/28/20,19
2/29/20,26
03-01-2020,39
03-02-2020,57
03-03-2020,79
03-04-2020,113
03-05-2020,184
03-06-2020,247
03-07-2020,417
03-08-2020,538
03-09-2020,629
03-10-2020,796
03-11-2020,1155
03-12-2020,1595
3/13/20,2221
3/14/20,2951
3/15/20,3233
3/16/20,4666
3/17/20,6449
3/18/20,9155
3/19/20,13662
3/20/20,20063
3/21/20,26055
3/22/20,34943
3/23/20,46095
3/24/20,56713
3/25/20,68840
3/26/20,86660
3/27/20,105252
3/28/20,127412
3/29/20,143546
3/30/20,165699
3/31/20,192079
04-01-2020,224281
04-02-2020,256627
04-03-2020,288992
04-04-2020,321379
04-05-2020,350713
04-06-2020,382646
04-07-2020,413222
04-08-2020,444340
04-09-2020,480413
04-10-2020,514689
04-11-2020,543878
04-12-2020,570812
4/13/20,597804
4/14/20,626217
4/15/20,652179
4/16/20,682442
4/17/20,715446
4/18/20,743379
4/19/20,769250
4/20/20,799039
4/21/20,825257
4/22/20,854328
4/23/20,887581
4/24/20,919920
4/25/20,950298
4/26/20,976871
4/27/20,1000666
4/28/20,1025354
4/29/20,1051785
4/30/20,1080942
05-01-2020,1115844
05-02-2020,1143248
05-03-2020,1167577
05-04-2020,1191815
05-05-2020,1216263
05-06-2020,1240643
05-07-2020,1268263
05-08-2020,1295396
05-09-2020,1320096
05-10-2020,1339109
05-11-2020,1358248
05-12-2020,1381134
5/13/20,1401651
5/14/20,1428387
5/15/20,1453084
5/16/20,1477368
5/17/20,1496008
5/18/20,1518221
5/19/20,1539140
5/20/20,1561935
5/21/20,1587722
5/22/20,1611380
5/23/20,1632499
5/24/20,1652805
5/25/20,1671293
5/26/20,1690277
5/27/20,1709753
5/28/20,1731476
5/29/20,1756124
5/30/20,1780337
5/31/20,1799673
06-01-2020,1816677
06-02-2020,1837946
06-03-2020,1857726
06-04-2020,1879461
06-05-2020,1904372
06-06-2020,1925846
06-07-2020,1944114
06-08-2020,1960813
06-09-2020,1978821
06-10-2020,2000017
06-11-2020,2022418
06-12-2020,2047567
